TIME(Hrs),Hole (Nos),Depth (m),Spacing(m),Burden (m),Stemming(m),Total Drill (RMT),Explosive(kg),Volume(m3),Powder Factor(kg/m3),Av. CPH,MCPD (kg/D),PPV MON,Seis. Dist. (m),A.O.P (dBL)
13:33:00,30,12.0,4.2,3.2,3.0,360.0,1650.0,4838.4,0.34,55.0,110.0,2.18,370.0,90.9
13:30:00,28,2.6,3.0,2.5,1.8,111.5,341.68,836.25,0.41,12.2,24.4,0.738,290.0,109.9
13:15:00,68,9.0,3.2,3.0,3.0,532.0,2150.0,5107.2,0.42,31.61,55.61,0.738,430.0,131.4
13:11:00,63,7.8,3.8,3.0,3.0,471.0,1775.0,5369.0,0.33,28.17,56.34,1.14,360.0,124.4
13:13:00,29,11.13,4.2,3.2,3.0,316.0,1650.0,4247.0,0.38,56.89,56.89,1.15,270.0,126.1
13:13:00,41,12.13,4.0,3.5,3.0,517.0,3000.0,7238.0,0.41,73.17,146.34,1.15,365.0,126.1
13:09:00,31,5.0,3.0,3.0,2.5,155.0,575.0,1395.0,0.41,18.54,18.54,2.29,265.0,110.2
13:11:00,34,8.0,3.0,3.0,3.0,272.0,1408.32,2448.0,0.57,41.42,41.42,1.9,270.0,113.2
13:29:00,63,6.5,3.2,2.8,3.0,409.5,1725.0,3669.12,0.47,27.38,27.38,0.714,415.0,125.0
13:16:00,28,12.0,4.2,3.2,3.0,336.0,2250.0,4515.84,0.49,80.35,160.71,0.714,434.0,126.2
13:10:00,34,5.0,3.0,3.0,3.0,170.0,567.12,1530.0,0.37,16.68,33.36,0.945,278.0,115.0
13:08:00,20,7.0,3.0,3.0,3.0,140.0,667.2,1260.0,0.52,33.36,66.72,0.706,285.0,113.1
13:46:00,30,10.0,3.5,3.0,3.0,300.0,1600.0,3150.0,0.51,53.33,53.33,2.15,315.0,119.6
13:45:00,49,9.0,3.2,2.8,3.0,408.0,1200.0,2634.24,0.45,24.49,24.49,1.26,385.0,112.2
13:42:00,34,6.0,3.0,3.0,3.0,204.0,950.0,1836.0,0.51,27.94,27.94,2.06,235.0,106.0
13:15:00,34,5.6,3.0,3.0,3.0,182.0,658.32,1638.0,0.41,19.36,19.36,1.55,310.0,113.7
13:22:00,33,6.7,3.5,2.8,3.0,469.5,950.0,2263.0,0.41,28.78,28.78,0.897,260.0,94.1
13:44:00,53,12.0,3.0,3.0,3.0,636.0,3050.0,5724.0,0.53,57.54,115.09,2.36,287.0,112.6
13:10:00,31,6.0,3.5,3.0,3.0,180.0,775.0,1890.0,0.41,25.0,50.0,1.65,430.0,114.0
13:10:00,73,9.0,4.0,3.0,3.0,598.6,3750.0,7183.0,0.52,51.36,102.73,1.9,370.0,101.7
13:10:00,36,9.0,3.4,2.7,2.5,151.0,500.0,1388.01,0.39,13.88,13.88,1.26,410.0,120.1
13:10:00,36,4.0,3.0,3.0,2.5,144.0,625.0,1296.0,0.48,17.36,17.36,2.04,250.0,97.4
13:10:00,34,5.0,3.0,3.0,2.5,170.0,750.0,1530.0,0.49,22.05,22.05,4.48,310.0,122.0
